B,n,snr,icc,rho,method,j,sd,bias,mse,coverage,n_rep_used,mean_Nj,min_Nj
5,1000,0.3,0.2,0.3,ours,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.3,0.2,0.3,ours,2,0.037997577440638294,0.0007391446499619389,0.001437143146714085,0.965,200,664.95,630.0
5,1000,0.3,0.2,0.3,ours,3,0.05087483328696574,-0.003403946735909868,0.0025868942720475856,0.955,200,443.135,408.0
5,1000,0.3,0.2,0.3,ours,4,0.06571475610266082,0.0045030663296911026,0.0043171146301536345,0.945,200,295.3,261.0
5,1000,0.3,0.2,0.3,ours,5,0.07860949745692584,0.0011264315920967141,0.006149824673109951,0.93,200,197.26,167.0
5,1000,0.3,0.2,0.3,naive,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.3,0.2,0.3,naive,2,0.037313279100229586,0.06268839671135541,0.005315154475465849,0.825,200,664.95,630.0
5,1000,0.3,0.2,0.3,naive,3,0.052353608425311976,0.10222854233890198,0.013177870682311816,0.56,200,443.135,408.0
5,1000,0.3,0.2,0.3,naive,4,0.06360576591505608,0.13998363676222775,0.023620883551532027,0.4,200,295.3,261.0
5,1000,0.3,0.2,0.3,naive,5,0.07683252604558458,0.1527481928964822,0.02920573130639365,0.475,200,197.26,167.0
5,1000,0.3,0.2,0.6,ours,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.3,0.2,0.6,ours,2,0.028158626629242685,-0.00029677571906460494,0.0007890317882042964,0.955,200,666.355,618.0
5,1000,0.3,0.2,0.6,ours,3,0.042138912614121435,0.00012677064576344218,0.0017668255873156868,0.955,200,441.885,400.0
5,1000,0.3,0.2,0.6,ours,4,0.0533894523739061,0.0003813699147688626,0.00283632689967355,0.965,200,294.56,260.0
5,1000,0.3,0.2,0.6,ours,5,0.06686642192073174,0.004629327295503052,0.004470193459787798,0.965,200,195.58,169.0
5,1000,0.3,0.2,0.6,naive,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.3,0.2,0.6,naive,2,0.03141623036375558,0.06200873192057495,0.004827127467014945,0.86,200,666.355,618.0
5,1000,0.3,0.2,0.6,naive,3,0.04502802101968994,0.10600105013663821,0.013253607693634982,0.545,200,441.885,400.0
5,1000,0.3,0.2,0.6,naive,4,0.05453420420547113,0.13439013657798246,0.021019818340631186,0.455,200,294.56,260.0
5,1000,0.3,0.2,0.6,naive,5,0.07379931595437747,0.1504958159962477,0.02806809797253381,0.505,200,195.58,169.0
5,1000,0.3,0.2,0.8,ours,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.3,0.2,0.8,ours,2,0.021762688488752707,0.0012400865331783876,0.0004727843518169676,0.925,200,666.21,624.0
5,1000,0.3,0.2,0.8,ours,3,0.036707123652659775,0.0016001115029750507,0.0013432362190393494,0.93,200,443.625,391.0
5,1000,0.3,0.2,0.8,ours,4,0.046235443308676454,0.0036359365753677697,0.0021402476716401823,0.93,200,295.44,251.0
5,1000,0.3,0.2,0.8,ours,5,0.06051886506093788,0.0020094207448956318,0.0036482581348527042,0.925,200,197.44,160.0
5,1000,0.3,0.2,0.8,naive,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.3,0.2,0.8,naive,2,0.027459589842361604,0.06390958023612332,0.004834693374896661,0.865,200,666.21,624.0
5,1000,0.3,0.2,0.8,naive,3,0.04377228543925996,0.10650343819030506,0.0132494152540693,0.475,200,443.625,391.0
5,1000,0.3,0.2,0.8,naive,4,0.05649279221148476,0.13733854724232067,0.02203735495262189,0.415,200,295.44,251.0
5,1000,0.3,0.2,0.8,naive,5,0.06758776898998209,0.14867650830940213,0.026649970107533685,0.47,200,197.44,160.0
5,1000,0.2,0.2,0.3,ours,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.2,0.2,0.3,ours,2,0.06411352644344023,-0.0029381108227817974,0.004098624046855589,0.93,200,666.345,625.0
5,1000,0.2,0.2,0.3,ours,3,0.08132207862437063,-0.0020348021994082382,0.006584354489420094,0.925,200,444.855,397.0
5,1000,0.2,0.2,0.3,ours,4,0.10783439988357064,0.0043530147699817985,0.011589065246846253,0.905,200,297.66,262.0
5,1000,0.2,0.2,0.3,ours,5,0.12028702677491246,0.00024607222923364147,0.014396684517838765,0.93,200,198.395,163.0
5,1000,0.2,0.2,0.3,naive,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.2,0.2,0.3,naive,2,0.06325924418765377,0.058633950660838326,0.007419663485414865,0.9,200,666.345,625.0
5,1000,0.2,0.2,0.3,naive,3,0.07437224721918424,0.1032712665699563,0.016168529499612273,0.815,200,444.855,397.0
5,1000,0.2,0.2,0.3,naive,4,0.09973313154291157,0.13695143307489563,0.02865265906098654,0.685,200,297.66,262.0
5,1000,0.2,0.2,0.3,naive,5,0.10843361049831717,0.14634760217718465,0.033116679309283754,0.73,200,198.395,163.0
5,1000,0.2,0.2,0.6,ours,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.2,0.2,0.6,ours,2,0.04692715544459631,0.0007925250295103092,0.0021917752244530993,0.925,200,667.01,623.0
5,1000,0.2,0.2,0.6,ours,3,0.0696621409108125,0.0022901129448106416,0.004833794424196497,0.935,200,446.06,401.0
5,1000,0.2,0.2,0.6,ours,4,0.08995645008162384,-0.004626109360503076,0.008073102984546577,0.925,200,298.445,261.0
5,1000,0.2,0.2,0.6,ours,5,0.11451584238419352,-0.00235016620132519,0.013053832047350498,0.89,200,199.475,164.0
5,1000,0.2,0.2,0.6,naive,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.2,0.2,0.6,naive,2,0.05141464373922514,0.06095675261005949,0.006345973951641279,0.945,200,667.01,623.0
5,1000,0.2,0.2,0.6,naive,3,0.06787905772646724,0.10740763483559991,0.016120928666421484,0.79,200,446.06,401.0
5,1000,0.2,0.2,0.6,naive,4,0.09187449267503707,0.13326865646881267,0.026159252589276368,0.725,200,298.445,261.0
5,1000,0.2,0.2,0.6,naive,5,0.12282176653468513,0.1491407563676845,0.037252725612952224,0.715,200,199.475,164.0
5,1000,0.2,0.2,0.8,ours,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.2,0.2,0.8,ours,2,0.03152147122531956,0.0026091646732951048,0.0009954428727599767,0.935,200,666.41,591.0
5,1000,0.2,0.2,0.8,ours,3,0.048780642119671626,-0.0003623036543587761,0.0023677845543174057,0.945,200,443.0,390.0
5,1000,0.2,0.2,0.8,ours,4,0.06927031211282432,0.0002461997301069484,0.004774444873814159,0.925,200,296.205,244.0
5,1000,0.2,0.2,0.8,ours,5,0.08977290497991593,-0.00060285200373487,0.008019242026728757,0.945,200,197.08,161.0
5,1000,0.2,0.2,0.8,naive,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.2,0.2,0.8,naive,2,0.04127256204239835,0.06380163520817198,0.005765555910892553,0.965,200,666.41,591.0
5,1000,0.2,0.2,0.8,naive,3,0.061467954861961195,0.10707109511946897,0.01522363733761991,0.855,200,443.0,390.0
5,1000,0.2,0.2,0.8,naive,4,0.08266684473351536,0.1415685382798422,0.026841289212795303,0.725,200,296.205,244.0
5,1000,0.2,0.2,0.8,naive,5,0.10889307877320635,0.1501914701043092,0.03435589178377779,0.74,200,197.08,161.0
5,1000,0.1,0.2,0.3,ours,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.1,0.2,0.3,ours,2,0.10918500019812882,0.0021137176523073993,0.011866225249237736,0.955,200,667.705,631.0
5,1000,0.1,0.2,0.3,ours,3,0.14625758034262842,-0.015173593606949778,0.02151456135159087,0.98,200,444.865,402.0
5,1000,0.1,0.2,0.3,ours,4,0.19394985618221774,-0.009437080323873002,0.03751752246457665,0.94,200,296.83,259.0
5,1000,0.1,0.2,0.3,ours,5,0.24365243704443998,-0.013578461456572488,0.05925405214283394,0.935,200,197.165,168.0
5,1000,0.1,0.2,0.3,naive,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
5,1000,0.1,0.2,0.3,naive,2,0.1040671480311436,0.06861586116225987,0.0154839578458778,0.98,200,667.705,631.0
5,1000,0.1,0.2,0.3,naive,3,0.1380581761305101,0.09035731310758528,0.02712920372852274,0.96,200,444.865,402.0
5,1000,0.1,0.2,0.3,naive,4,0.17306430563670713,0.126675426059661,0.04584816118348465,0.925,200,296.83,259.0
5,1000,0.1,0.2,0.3,naive,5,0.23298934353479564,0.14688541399628902,0.07558793887463236,0.895,200,197.165,168.0
5,1000,0.1,0.2,0.6,ours,1,0.0,0.0,0.0,1.0,200,1000.0,1000.0
